cnes,nome,endereco,cidade,estado,email_unidade_saude,telefone,cep,pais
3556530,HOSC HOSPITAL DE OLHOS SANTA CLARA,Avenida Marina - 8888,MENDES,RIO DE JANEIRO,sadie_crona@lehner.example,(71) 7971-2454,82675-506,Brasil
2273357,HOSPITAL ADVENTISTA SILVESTRE,Viela Levi Rocha - 98421,RIO DE JANEIRO,RIO DE JANEIRO,karan@wolff.example,(15) 8343-5321,39605-187,Brasil
49867,HOSPITAL AGUAS CLARAS,Viela Ana Lívia Bomdia - 6487,BRASILIA,DISTRITO FEDERAL,carline_west@medhurst.test,(74) 2332-9158,33122-105,Brasil
2275562,HOSPITAL ALCIDES CARNEIRO,Rua Roberta - 90487,PETROPOLIS,RIO DE JANEIRO,senaida.murphy@bode.example,(67) 8827-4431,92232-596,Brasil
6921434,HOSPITAL ALVORADA DE BRASILIA,Travessa Lorraine - 495,BRASILIA,DISTRITO FEDERAL,roseanne@effertz.example,(67) 7187-0165,86947-968,Brasil
3006050,HOSPITAL AMERICAN COR,Travessa Antonella - 7733,RIO DE JANEIRO,RIO DE JANEIRO,chong.schaefer@luettgen-runolfsson.test,(81) 0368-9405,17403-891,Brasil
3030121,HOSPITAL ANCHIETA,Viela Maria Valentina Cavalcanti - 66325,BRASILIA,DISTRITO FEDERAL,denny_oconnell@heathcote.example,(17) 0940-8074,52392-583,Brasil
2025361,HOSPITAL ANCHIETA,Rua Silas Castanho - 713,SAO BERNARDO DO CAMPO,SAO PAULO,antione.parker@west.example,(88) 5316-2683,63753-297,Brasil
2866161,HOSPITAL ANNA NERY,Ponte Miguel Caseira - 706,BRASILIA,DISTRITO FEDERAL,millicent.klocko@lesch.example,(32) 1021-8210,21315-720,Brasil
2283328,HOSPITAL ARMANDO VIDAL,Marginal Yuri - 864,SAO FIDELIS,RIO DE JANEIRO,christene_damore@balistreri-murazik.test,(42) 8677-4164,84500-396,Brasil
7605935,HOSPITAL BANGU,Rua Alícia - s/n,RIO DE JANEIRO,RIO DE JANEIRO,pierre.parisian@turner.example,(69) 3479-1503,65837-274,Brasil
7458940,HOSPITAL BARRA DOR,Viela Fabiano - 863,RIO DE JANEIRO,RIO DE JANEIRO,rosalie.wisozk@abbott.test,(48) 7746-9567,49192-902,Brasil
5095824,HOSPITAL BASILEU ESTRELA,Marginal Ana Vitória - 6811,SANTA MARIA MADALENA,RIO DE JANEIRO,terry@halvorson.example,(47) 6067-7859,88736-953,Brasil
3048551,HOSPITAL BRASILIA,Travessa Hélio - 8803,BRASILIA,DISTRITO FEDERAL,ryan.hayes@schmitt.example,(67) 8537-4182,78841-649,Brasil
